owner,repo_name,issue_id,state,labels,assignees,number_of_comments,created_at,closed_at,locked,day_created,week_created,month_created,year_created,time_created,hour_created,day_closed,week_closed,month_closed,year_closed,time_closed,hour_closed
pH-7,Simple-Java-Calculator,93,open,,,0,2023-03-21 20:38:46+00:00,,False,21,12,3,2023,20:38:46,20,,,,,,
pH-7,Simple-Java-Calculator,92,closed,,,0,2023-03-21 20:07:28+00:00,2023-03-21 20:25:02+00:00,False,21,12,3,2023,20:07:28,20,21.0,12,3.0,2023.0,20:25:02,20.0
pH-7,Simple-Java-Calculator,91,closed,,,0,2023-03-21 19:56:40+00:00,2023-03-21 19:58:51+00:00,False,21,12,3,2023,19:56:40,19,21.0,12,3.0,2023.0,19:58:51,19.0
pH-7,Simple-Java-Calculator,90,open,,,0,2023-03-18 10:38:14+00:00,,False,18,11,3,2023,10:38:14,10,,,,,,
pH-7,Simple-Java-Calculator,89,open,,cgmpinos,4,2023-02-13 18:19:56+00:00,,False,13,7,2,2023,18:19:56,18,,,,,,
pH-7,Simple-Java-Calculator,88,open,,,0,2023-02-12 17:30:09+00:00,,False,12,6,2,2023,17:30:09,17,,,,,,
pH-7,Simple-Java-Calculator,87,closed,,,6,2023-01-28 06:43:26+00:00,2023-03-14 08:40:31+00:00,False,28,4,1,2023,06:43:26,6,14.0,11,3.0,2023.0,08:40:31,8.0
pH-7,Simple-Java-Calculator,86,closed,,,1,2022-09-09 04:59:22+00:00,2022-09-19 23:45:13+00:00,False,9,36,9,2022,04:59:22,4,19.0,38,9.0,2022.0,23:45:13,23.0
pH-7,Simple-Java-Calculator,85,closed,,rula-services,1,2022-09-06 13:54:23+00:00,2023-03-03 17:09:41+00:00,False,6,36,9,2022,13:54:23,13,3.0,9,3.0,2023.0,17:09:41,17.0
pH-7,Simple-Java-Calculator,84,closed,,,0,2022-09-05 19:47:10+00:00,2022-09-05 19:47:27+00:00,False,5,36,9,2022,19:47:10,19,5.0,36,9.0,2022.0,19:47:27,19.0
pH-7,Simple-Java-Calculator,83,closed,,,0,2022-09-03 11:29:59+00:00,2022-09-03 13:09:56+00:00,False,3,35,9,2022,11:29:59,11,3.0,35,9.0,2022.0,13:09:56,13.0
pH-7,Simple-Java-Calculator,82,closed,,,0,2022-09-03 11:19:08+00:00,2022-09-03 13:10:33+00:00,False,3,35,9,2022,11:19:08,11,3.0,35,9.0,2022.0,13:10:33,13.0
