owner,repo_name,issue_id,state,labels,assignees,number_of_comments,created_at,closed_at,locked,day_created,week_created,month_created,year_created,time_created,hour_created,day_closed,week_closed,month_closed,year_closed,time_closed,hour_closed
apple,swift-argument-parser,562,open,,,0,2023-03-30 19:13:46+00:00,,False,30,13,3,2023,19:13:46,19,,,,,,
apple,swift-argument-parser,561,open,,,0,2023-03-29 20:32:52+00:00,,False,29,13,3,2023,20:32:52,20,,,,,,
apple,swift-argument-parser,560,open,,,0,2023-03-27 20:12:48+00:00,,False,27,13,3,2023,20:12:48,20,,,,,,
apple,swift-argument-parser,559,open,,,0,2023-03-23 12:28:28+00:00,,False,23,12,3,2023,12:28:28,12,,,,,,
apple,swift-argument-parser,558,open,bug,,1,2023-03-01 15:18:25+00:00,,False,1,9,3,2023,15:18:25,15,,,,,,
apple,swift-argument-parser,557,open,,,0,2023-02-27 13:23:45+00:00,,False,27,9,2,2023,13:23:45,13,,,,,,
apple,swift-argument-parser,556,open,,,2,2023-02-26 22:38:15+00:00,,False,26,8,2,2023,22:38:15,22,,,,,,
apple,swift-argument-parser,555,open,enhancement,,0,2023-02-21 23:57:34+00:00,,False,21,8,2,2023,23:57:34,23,,,,,,
apple,swift-argument-parser,554,closed,,,4,2023-02-20 07:57:04+00:00,2023-02-23 20:00:15+00:00,False,20,8,2,2023,07:57:04,7,23.0,8,2.0,2023.0,20:00:15,20.0
apple,swift-argument-parser,553,closed,bug,,3,2023-02-14 11:22:31+00:00,2023-02-23 20:00:16+00:00,False,14,7,2,2023,11:22:31,11,23.0,8,2.0,2023.0,20:00:16,20.0
apple,swift-argument-parser,552,closed,,,2,2023-02-13 18:50:38+00:00,2023-02-15 05:54:42+00:00,False,13,7,2,2023,18:50:38,18,15.0,7,2.0,2023.0,05:54:42,5.0
apple,swift-argument-parser,551,closed,,,0,2023-02-13 00:46:35+00:00,2023-02-15 05:54:44+00:00,False,13,7,2,2023,00:46:35,0,15.0,7,2.0,2023.0,05:54:44,5.0
apple,swift-argument-parser,550,closed,,,1,2023-02-08 22:42:48+00:00,2023-02-09 05:02:47+00:00,False,8,6,2,2023,22:42:48,22,9.0,6,2.0,2023.0,05:02:47,5.0
apple,swift-argument-parser,549,closed,,,1,2023-02-02 19:41:46+00:00,2023-02-09 17:25:51+00:00,False,2,5,2,2023,19:41:46,19,9.0,6,2.0,2023.0,17:25:51,17.0
apple,swift-argument-parser,548,closed,,,1,2023-02-02 08:23:59+00:00,2023-02-02 14:33:51+00:00,False,2,5,2,2023,08:23:59,8,2.0,5,2.0,2023.0,14:33:51,14.0
apple,swift-argument-parser,547,closed,,,1,2023-01-24 15:49:48+00:00,2023-01-27 16:45:06+00:00,False,24,4,1,2023,15:49:48,15,27.0,4,1.0,2023.0,16:45:06,16.0
apple,swift-argument-parser,546,closed,,,1,2023-01-20 13:57:18+00:00,2023-01-27 16:44:50+00:00,False,20,3,1,2023,13:57:18,13,27.0,4,1.0,2023.0,16:44:50,16.0
