owner,repo_name,issue_id,state,labels,assignees,number_of_comments,created_at,closed_at,locked
apple,swift-argument-parser,562,open,,,0,2023-03-30T19:13:46Z,,False
apple,swift-argument-parser,561,open,,,0,2023-03-29T20:32:52Z,,False
apple,swift-argument-parser,560,open,,,0,2023-03-27T20:12:48Z,,False
apple,swift-argument-parser,559,open,,,0,2023-03-23T12:28:28Z,,False
apple,swift-argument-parser,558,open,bug,,1,2023-03-01T15:18:25Z,,False
apple,swift-argument-parser,557,open,,,0,2023-02-27T13:23:45Z,,False
apple,swift-argument-parser,556,open,,,2,2023-02-26T22:38:15Z,,False
apple,swift-argument-parser,555,open,enhancement,,0,2023-02-21T23:57:34Z,,False
apple,swift-argument-parser,554,closed,,,4,2023-02-20T07:57:04Z,2023-02-23T20:00:15Z,False
apple,swift-argument-parser,553,closed,bug,,3,2023-02-14T11:22:31Z,2023-02-23T20:00:16Z,False
apple,swift-argument-parser,552,closed,,,2,2023-02-13T18:50:38Z,2023-02-15T05:54:42Z,False
apple,swift-argument-parser,551,closed,,,0,2023-02-13T00:46:35Z,2023-02-15T05:54:44Z,False
apple,swift-argument-parser,550,closed,,,1,2023-02-08T22:42:48Z,2023-02-09T05:02:47Z,False
apple,swift-argument-parser,549,closed,,,1,2023-02-02T19:41:46Z,2023-02-09T17:25:51Z,False
apple,swift-argument-parser,548,closed,,,1,2023-02-02T08:23:59Z,2023-02-02T14:33:51Z,False
apple,swift-argument-parser,547,closed,,,1,2023-01-24T15:49:48Z,2023-01-27T16:45:06Z,False
apple,swift-argument-parser,546,closed,,,1,2023-01-20T13:57:18Z,2023-01-27T16:44:50Z,False
apple,swift-argument-parser,545,closed,,,1,2023-01-19T13:29:33Z,2023-02-09T05:03:14Z,False
apple,swift-argument-parser,544,closed,,,2,2023-01-13T22:32:25Z,2023-02-02T08:29:05Z,False
apple,swift-argument-parser,543,closed,,,2,2023-01-13T06:54:02Z,2023-01-13T16:52:29Z,False
apple,swift-argument-parser,542,closed,,,2,2023-01-12T22:39:29Z,2023-01-13T14:23:45Z,False
apple,swift-argument-parser,541,closed,good first issue,,1,2023-01-11T16:15:51Z,2023-01-13T14:24:13Z,False
apple,swift-argument-parser,540,closed,,,2,2023-01-09T17:31:03Z,2023-01-13T19:15:14Z,False
apple,swift-argument-parser,539,closed,,,2,2023-01-06T17:41:13Z,2023-01-09T17:11:23Z,False
apple,swift-argument-parser,538,open,bug,,4,2023-01-06T10:38:52Z,,False
apple,swift-argument-parser,537,closed,,,1,2022-12-25T04:34:52Z,2022-12-25T04:41:48Z,False
apple,swift-argument-parser,536,open,good first issue,,5,2022-12-20T16:48:14Z,,False
apple,swift-argument-parser,535,closed,,,2,2022-12-17T02:43:58Z,2023-01-09T16:55:41Z,False
apple,swift-argument-parser,534,closed,,,2,2022-12-11T12:58:40Z,2023-01-13T19:15:41Z,False
apple,swift-argument-parser,533,closed,,,0,2022-12-09T16:16:26Z,2022-12-09T16:16:35Z,False
apple,swift-argument-parser,532,closed,,,4,2022-12-04T05:37:33Z,2023-01-09T17:17:53Z,False
apple,swift-argument-parser,531,closed,,,4,2022-12-02T01:56:53Z,2022-12-09T16:15:23Z,False
apple,swift-argument-parser,530,closed,,,1,2022-11-24T11:47:16Z,2022-12-10T21:53:03Z,False
apple,swift-argument-parser,529,closed,,,3,2022-11-22T00:04:42Z,2022-11-22T06:29:52Z,False
apple,swift-argument-parser,528,closed,,,2,2022-11-21T19:21:34Z,2022-11-22T06:27:42Z,False
apple,swift-argument-parser,527,closed,,,4,2022-11-21T18:29:38Z,2022-11-22T06:46:35Z,False
apple,swift-argument-parser,526,closed,,,2,2022-11-21T17:43:06Z,2022-11-22T06:24:42Z,False
apple,swift-argument-parser,525,closed,,,1,2022-11-21T16:35:04Z,2022-11-22T06:19:06Z,False
apple,swift-argument-parser,524,closed,"documentation, good first issue",,0,2022-11-19T18:05:57Z,2022-11-22T06:19:07Z,False
apple,swift-argument-parser,523,closed,,,2,2022-11-18T11:05:26Z,2022-12-12T22:50:41Z,False
apple,swift-argument-parser,522,closed,,,1,2022-11-16T15:21:10Z,2022-11-16T15:30:28Z,False
apple,swift-argument-parser,521,closed,,,2,2022-11-14T19:55:22Z,2022-11-15T18:30:41Z,False
apple,swift-argument-parser,520,closed,,,2,2022-11-13T11:09:38Z,2022-11-14T15:42:12Z,False
apple,swift-argument-parser,519,closed,,,1,2022-11-09T00:15:20Z,2022-11-09T00:19:03Z,False
apple,swift-argument-parser,518,closed,,,1,2022-11-08T19:40:57Z,2022-11-08T19:45:58Z,False
apple,swift-argument-parser,517,open,,,3,2022-11-08T14:53:29Z,,False
apple,swift-argument-parser,516,closed,,,1,2022-11-04T17:34:33Z,2022-11-04T21:18:24Z,False
apple,swift-argument-parser,515,open,enhancement,,0,2022-11-01T17:12:00Z,,False
apple,swift-argument-parser,514,closed,,,1,2022-10-31T18:34:52Z,2022-11-01T19:13:03Z,False
apple,swift-argument-parser,513,closed,,,2,2022-10-29T22:32:08Z,2022-11-12T20:11:21Z,False
apple,swift-argument-parser,512,closed,,,2,2022-10-28T18:30:11Z,2022-10-28T19:08:54Z,False
apple,swift-argument-parser,511,closed,,,2,2022-10-27T21:41:59Z,2022-10-28T18:36:40Z,False
apple,swift-argument-parser,510,closed,,,1,2022-10-26T15:20:12Z,2022-10-26T15:37:55Z,False
apple,swift-argument-parser,509,closed,,,0,2022-10-24T22:50:56Z,2022-10-28T19:08:56Z,False
apple,swift-argument-parser,508,closed,"documentation, good first issue",,0,2022-10-19T23:57:54Z,2022-11-01T19:13:05Z,False
apple,swift-argument-parser,507,closed,,,1,2022-10-14T19:35:27Z,2022-10-14T19:56:04Z,False
apple,swift-argument-parser,506,closed,,,2,2022-10-12T17:41:27Z,2022-10-12T17:45:52Z,False
apple,swift-argument-parser,505,closed,,,6,2022-10-10T21:07:43Z,2022-10-18T17:50:55Z,False
apple,swift-argument-parser,504,closed,,,2,2022-10-10T19:27:12Z,2022-10-10T22:50:21Z,False
apple,swift-argument-parser,503,closed,,,3,2022-10-09T16:58:42Z,2022-10-09T18:12:10Z,False
apple,swift-argument-parser,502,closed,,,1,2022-10-06T16:28:51Z,2022-10-07T18:32:35Z,False
apple,swift-argument-parser,501,open,,,1,2022-10-04T20:30:59Z,,False
