owner,repo_name,issue_id,state,labels,assignees,number_of_comments,created_at,closed_at,locked
pH-7,Simple-Java-Calculator,93,open,,,0,2023-03-21T20:38:46Z,,False
pH-7,Simple-Java-Calculator,92,closed,,,0,2023-03-21T20:07:28Z,2023-03-21T20:25:02Z,False
pH-7,Simple-Java-Calculator,91,closed,,,0,2023-03-21T19:56:40Z,2023-03-21T19:58:51Z,False
pH-7,Simple-Java-Calculator,90,open,,,0,2023-03-18T10:38:14Z,,False
pH-7,Simple-Java-Calculator,89,open,,cgmpinos,4,2023-02-13T18:19:56Z,,False
pH-7,Simple-Java-Calculator,88,open,,,0,2023-02-12T17:30:09Z,,False
pH-7,Simple-Java-Calculator,87,closed,,,6,2023-01-28T06:43:26Z,2023-03-14T08:40:31Z,False
pH-7,Simple-Java-Calculator,86,closed,,,1,2022-09-09T04:59:22Z,2022-09-19T23:45:13Z,False
pH-7,Simple-Java-Calculator,85,closed,,rula-services,1,2022-09-06T13:54:23Z,2023-03-03T17:09:41Z,False
pH-7,Simple-Java-Calculator,84,closed,,,0,2022-09-05T19:47:10Z,2022-09-05T19:47:27Z,False
pH-7,Simple-Java-Calculator,83,closed,,,0,2022-09-03T11:29:59Z,2022-09-03T13:09:56Z,False
pH-7,Simple-Java-Calculator,82,closed,,,0,2022-09-03T11:19:08Z,2022-09-03T13:10:33Z,False
pH-7,Simple-Java-Calculator,81,closed,,,0,2022-09-03T11:16:39Z,2022-09-03T12:58:13Z,False
pH-7,Simple-Java-Calculator,80,closed,,,3,2022-08-10T13:30:02Z,2022-08-26T12:47:45Z,False
pH-7,Simple-Java-Calculator,79,closed,,,2,2022-08-09T17:49:03Z,2022-08-10T10:51:36Z,False
pH-7,Simple-Java-Calculator,78,open,,PriscaTan,4,2022-08-09T15:37:56Z,,False
pH-7,Simple-Java-Calculator,77,open,,jorianCheong,4,2022-08-08T16:33:22Z,,False
pH-7,Simple-Java-Calculator,76,closed,,,1,2022-08-08T10:05:13Z,2022-08-10T10:20:44Z,False
pH-7,Simple-Java-Calculator,75,closed,,,3,2022-08-01T10:31:01Z,2022-08-10T10:23:04Z,False
pH-7,Simple-Java-Calculator,74,closed,,,0,2022-07-12T22:58:17Z,2022-07-12T22:59:32Z,False
pH-7,Simple-Java-Calculator,73,closed,,,2,2022-07-12T03:55:39Z,2022-08-10T10:26:08Z,False
pH-7,Simple-Java-Calculator,72,closed,,,0,2022-05-17T21:56:29Z,2022-05-19T08:20:10Z,False
pH-7,Simple-Java-Calculator,71,closed,,,0,2022-05-17T21:42:35Z,2022-05-19T08:20:20Z,False
pH-7,Simple-Java-Calculator,70,closed,,,1,2022-05-08T16:09:45Z,2022-05-10T10:42:56Z,False
pH-7,Simple-Java-Calculator,69,open,,naaimaqadeer,5,2021-12-02T00:17:07Z,,False
pH-7,Simple-Java-Calculator,68,closed,,,2,2021-11-30T07:33:26Z,2021-12-02T21:54:10Z,False
pH-7,Simple-Java-Calculator,67,closed,,,0,2021-11-30T04:01:12Z,2021-11-30T04:08:16Z,False
pH-7,Simple-Java-Calculator,66,closed,,,1,2021-08-08T14:55:57Z,2021-08-26T09:27:17Z,False
pH-7,Simple-Java-Calculator,65,closed,,,0,2021-08-08T14:49:15Z,2021-08-26T09:26:36Z,False
pH-7,Simple-Java-Calculator,64,closed,,,1,2021-06-24T03:22:33Z,2021-07-04T15:52:39Z,False
pH-7,Simple-Java-Calculator,63,closed,,,0,2021-01-26T21:13:48Z,2021-03-03T10:17:41Z,False
pH-7,Simple-Java-Calculator,62,closed,,,1,2020-12-29T07:56:55Z,2021-07-03T04:11:37Z,False
pH-7,Simple-Java-Calculator,61,closed,,,1,2020-12-02T10:03:02Z,2020-12-13T00:43:52Z,False
pH-7,Simple-Java-Calculator,60,closed,,,1,2020-11-07T12:38:41Z,2020-12-13T00:38:20Z,False
pH-7,Simple-Java-Calculator,59,closed,,,3,2020-10-29T21:48:27Z,2022-08-10T10:52:54Z,True
