owner,repo_name,commit_id,committer,date,code_added,code_removed,code_size_bytes,code_size_kilobytes
Anuken,Mindustry,04eba618d269448643289b7afd938f5265b7fd01,Anuken,2023-04-06 23:13:41,34,0,34,0.03320
Anuken,Mindustry,ac7b694e91452ada6c7ebc17aebce47f50b1b527,Anuken,2023-04-06 23:13:36,1,3,4,0.00391
Anuken,Mindustry,4fcb338d94a5df85699c78270e43a8e5d511809b,Unknown,2023-04-06 23:08:17,34,0,34,0.03320
Anuken,Mindustry,6dc3b7e72992d7b550a30265d1e8bc6741f45f47,web-flow,2023-04-06 23:07:24,162,65,227,0.22168
Anuken,Mindustry,cdb9fa0d7da4aafba67ef86fa23dde73e414a108,web-flow,2023-04-06 22:16:04,3,1,4,0.00391
Anuken,Mindustry,2b11e1fb1e119c3a578206af9b024b2680901d9a,Anuken,2023-04-06 16:15:12,1,1,2,0.00195
Anuken,Mindustry,697c6a927a9ce5de8a6be01c7aeaf46fe19b1740,Anuken,2023-04-06 14:46:57,47,45,92,0.08984
Anuken,Mindustry,72b456fca2dbcd8c93cf299278305ec9e066ed94,Anuken,2023-04-06 14:46:52,127,135,262,0.25586
Anuken,Mindustry,f67e2c71e77f23725f035e7d00e54558d4883756,Unknown,2023-04-06 13:56:07,1,1,2,0.00195
Anuken,Mindustry,bee977cadcabbb61cd5a38f9e37dbcc45c5972ba,web-flow,2023-04-06 13:55:06,24,24,48,0.04688
Anuken,Mindustry,183ebb33b7b4901c4dd7d58177addac00d615fb7,web-flow,2023-04-06 13:54:48,21,21,42,0.04102
Anuken,Mindustry,f6665de2e62f5c62c80ded0472cc6d5f38168d22,web-flow,2023-04-06 00:06:45,2,0,2,0.00195
Anuken,Mindustry,97390d25c07f1c7955a6d57cb289962cadc2d53e,Anuken,2023-04-05 23:51:16,1,6,7,0.00684
Anuken,Mindustry,3f1d957e288a60c460a7a34f724042bf975e99aa,Anuken,2023-04-04 15:02:47,16,1,17,0.01660
Anuken,Mindustry,e62a5888ef72649ae454295614a335c33fb6b81f,Anuken,2023-04-03 20:40:12,5,7,12,0.01172
Anuken,Mindustry,6d71bcd2eb9dc4d761b382123a06bbbe29f1c076,web-flow,2023-04-03 20:38:10,73,20,93,0.09082
Anuken,Mindustry,2075a226e1bf1698328d4cd95c8f372417d9a473,web-flow,2023-04-03 19:37:09,1,1,2,0.00195
Anuken,Mindustry,f55363a932ca81e1265beb4b2ce3700185c14054,web-flow,2023-04-03 14:03:24,7,4,11,0.01074
Anuken,Mindustry,76f151789aa74c8a31fd5f58c140122525ed3ce8,web-flow,2023-04-03 03:21:23,1,1,2,0.00195
Anuken,Mindustry,1413b479efa5e04c9bf18cb56d9983f734dd837b,Anuken,2023-04-03 02:44:44,24,2,26,0.02539
Anuken,Mindustry,b322b1165f47251628f5d64ae338d409ab40d0eb,web-flow,2023-04-02 23:53:19,23,0,23,0.02246
Anuken,Mindustry,fa02d8d2804fff8180d2b4170560c270f07269f8,Anuken,2023-04-02 17:28:53,5,5,10,0.00977
Anuken,Mindustry,251e10b00057fded518a225c0e655ee8c679efc6,Anuken,2023-04-02 17:28:49,5,1,6,0.00586
Anuken,Mindustry,6630f88613a2e8baacdcd7316427e81c64e6b416,web-flow,2023-04-02 15:00:27,5,5,10,0.00977
Anuken,Mindustry,c5c65d4475a517ed551fe5c431a9e5300f793bf2,Anuken,2023-04-02 14:54:42,9,0,9,0.00879
Anuken,Mindustry,c2677438745e8e0c51e11545943ca97b18324357,Anuken,2023-04-02 14:38:19,2,1,3,0.00293
Anuken,Mindustry,45ce8c8dec9e5f3a74cf92a21139c601f76d785d,Anuken,2023-04-02 14:36:31,3,2,5,0.00488
Anuken,Mindustry,25c65e80cde3a5a36322e55b010e7f94d5e4a9ef,Anuken,2023-04-02 14:36:26,2,2,4,0.00391
Anuken,Mindustry,e51ab514a8e2716eb00c6409d34fc89404b095b4,web-flow,2023-04-02 04:19:33,3,2,5,0.00488
Anuken,Mindustry,21d64157a0afd16548f2e4024d0702f807aa0854,Anuken,2023-04-01 21:30:08,2,2,4,0.00391
Anuken,Mindustry,fff8f567d0b39bab265c2b294a1f563fa0eb75b3,Anuken,2023-04-01 21:30:05,5,1,6,0.00586
Anuken,Mindustry,1e2e0a48a13f6d93d9d922038754763dbc6de409,web-flow,2023-04-01 14:39:00,2,2,4,0.00391
Anuken,Mindustry,affa30730a127527ec4040ad2b4e3c544725ce6f,Anuken,2023-04-01 14:04:22,1,1,2,0.00195
Anuken,Mindustry,b326bdf0e8501b6df8f209209677bd91facc1964,Anuken,2023-04-01 13:55:59,10,8,18,0.01758
Anuken,Mindustry,cc3694ce4acdf7df7f46665d74b3d9a61fcd1134,Anuken,2023-04-01 13:55:54,2,2,4,0.00391
