owner,repo_name,commit_id,committer,date,tree_url,lines_code_added,lines_code_removed,code_size_bytes,code_size_kilobytes,repo_size_kb
pH-7,Simple-Java-Calculator,ded4ad928051c1276eaec10d03c142a109881634,web-flow,2023-03-14 08:40:31,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/3a2f8c06e1a6323c5a0a98f828b8667361d8db61,17,3,20,1,1
pH-7,Simple-Java-Calculator,59936e9facf0b737ee1ff72abd3253f0887c07b8,af4092,2023-01-28 06:31:58,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/3a2f8c06e1a6323c5a0a98f828b8667361d8db61,17,3,20,1,1
pH-7,Simple-Java-Calculator,16a57669ccf2ccaab6dfcca2067d7749e59f0fd0,web-flow,2022-08-10 10:48:27,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/8e4fe4941bc16a43f7d6593fcad5fa1ee23a2dbe,3,2,5,1,1
pH-7,Simple-Java-Calculator,b786d383ad8f8bee6fddf396f1b47e80d2b262c7,web-flow,2022-08-10 10:33:38,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/184c12631f650b6ad240615fb052eb882ef8d953,1,1,2,1,1
pH-7,Simple-Java-Calculator,b35185555084ea03575eea182654f67a7bd38d7e,web-flow,2022-08-10 10:29:32,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/37da56f0cdc0e6d28b22a352c63e38bf93199023,1,1,2,1,1
pH-7,Simple-Java-Calculator,9bd8b25f22af8d798bdfd33ce12eeace33450fe3,web-flow,2022-08-10 10:26:07,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/3f4bf1b7045eb65bd79d5ac4bc6a4f341a06791f,22,5,27,1,1
pH-7,Simple-Java-Calculator,92ed5a8f615f54fcda8d33c652f1a271a9c6414d,web-flow,2022-07-12 03:54:40,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/3f4bf1b7045eb65bd79d5ac4bc6a4f341a06791f,22,5,27,1,1
pH-7,Simple-Java-Calculator,0dec0d3932e3405eb4c4dcdbf83c7c39090336a5,web-flow,2022-06-19 09:28:22,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/b8ad212901ea7c6e495fb26025b989b458cad81b,3,4,7,1,1
pH-7,Simple-Java-Calculator,dbbb1510eb00f71cc698bedf693698f61ff5fe6a,web-flow,2022-06-19 09:26:08,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/d9c742562d259ba4094ba1cf64706913d9e1aed5,4,4,8,1,1
pH-7,Simple-Java-Calculator,65f8ed5bd98d8a67259c2003d98954bf86cb1a95,web-flow,2020-12-13 00:46:41,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/2f58d453c91b1af4cc4ceb9d90c293faa2df9d0b,4,2,6,1,1
pH-7,Simple-Java-Calculator,07bd468246eecd3ab628802f072f2ebdf80a3e96,web-flow,2020-12-13 00:43:51,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/b2709513d65ce506699fc7a397d6119fdb22cba1,70,78,148,1,1
pH-7,Simple-Java-Calculator,96a525528bb1f5eaf8bc7cdc279653aa29389732,Unknown,2020-12-02 09:56:44,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/b2709513d65ce506699fc7a397d6119fdb22cba1,2,5,7,1,1
pH-7,Simple-Java-Calculator,0788abfe30f5a19d9cb6ac4a745b9ec0519239f1,Unknown,2020-12-02 09:48:39,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/fb91ed07faff281358cc66611dfd920f91be116f,71,76,147,1,1
pH-7,Simple-Java-Calculator,6a6716c66f50778823231b89e57e203e9b96e07f,web-flow,2020-08-17 13:08:49,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/9adf4fda36455abc19e2cdd65746e7fd663ab7a3,15,14,29,1,1
pH-7,Simple-Java-Calculator,b0917e0df14e258c23fd2386ef8adbf41321def2,web-flow,2020-08-17 13:08:26,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/9adf4fda36455abc19e2cdd65746e7fd663ab7a3,0,1,1,1,1
